ID,Descripción,Given,When,Then,Resultado esperado,Relación,Estado Actual,Responsable,Último Cambio
15,Búsqueda de envío por Tracking ID (no encontrado),No hay envío con el Tracking ID ingresado.,Se realiza la búsqueda exacta.,Se muestra una alerta amigable: 'No se encontraron envíos con ese código'.,"Mostrar alerta ""No se encontraron envíos con ese código"" si el ID no existe.",US12,Implementado,Pablo,27/03/26
16,Visualización de detalle completo de envío,Se ingresa el Tracking ID del envio buscado,Se accede al detalle.,"Se muestra una vista con remitente, destinatario, estado actual y fechas relevantes.","Abrir vista/modal mostrando la totalidad de los datos (remitente, paquete y destinatario).",US13,Implementado,Pablo,27/03/26
17,Filtrar envíos por estado actual,Hay envíos con diferentes estados.,El usuario aplica un/unos estados en un dropdown de filtrado.,La lista se actualiza en tiempo real para mostrar solo los envíos que coinciden.,Actualizar la tabla en tiempo real según el/los estados seleccionados en el filtro.,US14,Implementado,Pablo,27/03/26
18,Filtrar envíos por rango de fechas,Existen envíos con fechas de creación.,Se selecciona un rango de fechas desde/hasta y se aplica.,La lista muestra únicamente envíos dentro del rango.,"Filtrar correctamente y lanzar error de validación si la fecha ""Desde"" es mayor a ""Hasta"".",US15,Implementado,Pablo,27/03/26
19,Cambio de estado individual (flujo válido),"Un envío en estado 'Iniciado' , 'En sucursal' o 'En tránsito' ",Se cambia el estado a 'En sucursal' y luego a 'En tránsito' o 'Entregado'  respectivamente,Cada transición sigue el flujo lógico permitido y se registra el cambio.,Respetar flujo estricto (Iniciado -> En sucursal -> En tránsito -> Entregado) sin permitir saltos. ni conticuar si  ya se llego al estado Entregado,US16,Implementado,Mauricio,26/03/26
20,Cambio de estado masivo (en lote),Se pueden seleccionar múltiples envíos mediante checkboxes.,"Se aplica un cambio de estado a todos los seleccionados (p. ej., a 'En tránsito').",Todos los envíos seleccionados cambian al nuevo estado.,Aplicar el cambio de estado únicamente a los envíos marcados con checkbox.,US17,Pendiente,Sin asignar,____
21,Auditoría automática de cambios de estado,Se realiza un cambio de estado en un envío.,El cambio se persiste.,"Se genera automáticamente un registro de auditoría con fecha, hora y usuario que realizó el cambio.",Registrar automáticamente el ID del Usuario y el Timestamp exacto de cada cambio.,US18,Implementado,Mauricio,26/03/26
22,Historial de estados (Timeline) en detalle,Se ha realizado varias transiciones de estado en un envío.,Se abre la vista de detalle y se revisa la pestaña/ sección 'Historial' (Timeline).,"Se muestran los eventos con fecha/hora y el estado correspondiente, en orden cronológico.","Mostrar línea de tiempo en orden cronológico con fecha, hora y estado adquirido.",US19,Implementado,Mauricio,26/03/26
23,Agregar observación al actualizar un estado,Se actualiza el estado de un envío.,Se añade una observación en un campo de texto (String) opcional.,La observación aparece en el Timeline y es visible para auditoría.,Guardar el texto ingresado en el campo opcional y mostrarlo dentro del historial (Timeline).,US20,Implementado,Mauricio,26/03/26
24,Consentimiento informado al registrar envío,Un Operador crea un envío.,El backend retorna una prioridad sugerida (Alta/Media/Baja) para el nuevo envío.,La prioridad sugerida se muestra en pantalla con una etiqueta visual (ej. roja para Alta).,"Requerir el check en ""Acepto políticas de privacidad"" para permitir guardar el envío.",US21,Pendiente,Sin asignar,____
