Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Issue color),Campo personalizado (Rank),Sprint,Campo personalizado (Start date),Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerability),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
US25: Sugerencia automática de prioridad por IA,SFGLD-32,10098,Historia,Revisión,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,,Mauricio Quevedo,712020:2f95521c-bf4d-44a2-a517-166702e2efc4,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,03/abr/26 1:59 AM,26/mar/26 7:40 PM,,,0,"{panel:bgColor=#deebff}
Como Operador, quiero que la Inteligencia Artificial sugiera automáticamente un nivel de prioridad (Alta/Media/Baja) al registrar el envío.
{panel}

*Criterios de aceptación*

{quote}# Al crear un envío, el backend (modelo) debe retornar un valor de Prioridad (Alta, Media, Baja).
# La prioridad sugerida debe mostrarse en pantalla con una etiqueta visual (ej. rojo para Alta).{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i00079:,SFGLD Sprint 3,,3.0,,,,En curso,03/abr/26 12:25 AM,10072,SFGLD-6,Machine Learning
US24: Carga de Dataset de entrenamiento,SFGLD-31,10097,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,Listo,Mauricio Quevedo,712020:2f95521c-bf4d-44a2-a517-166702e2efc4,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,30/mar/26 7:47 PM,26/mar/26 7:40 PM,30/mar/26 7:47 PM,,0,"{panel:bgColor=#deebff}
Como Analista de Datos, quiero cargar un Dataset de entrenamiento en el sistema para alimentar el modelo de Machine Learning.
{panel}

*Criterios de aceptación*

{quote}El sistema debe validar que el archivo contenga las columnas requeridas para el modelo.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0004t:5z,SFGLD Sprint 2,,8.0,,,,Listo,30/mar/26 7:47 PM,10072,SFGLD-6,Machine Learning
US23: Exportación de datos de cliente (Derecho de Acceso),SFGLD-30,10096,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,Listo,Pablo Rodriguez,712020:3f49e0f7-1120-417c-ac02-26c0aa8e84cf,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,04/abr/26 5:34 PM,05/abr/26 9:58 PM,04/abr/26 5:34 PM,,0,"{panel:bgColor=#deebff}
Como Administrador, quiero generar un extracto de los datos almacenados de un cliente para responder a solicitudes legales de acceso a la información.
{panel}

*Criterios de aceptación*

{quote}El Administrador debe poder descargar un archivo {{csv}} que contenga toda la información personal guardada sobre un cliente en particular.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i00075:i,SFGLD Sprint 3,,3.0,,,,Listo,04/abr/26 5:34 PM,10071,SFGLD-5,Compliance / Ley
US22: Anonimización de datos (Derecho al Olvido),SFGLD-29,10095,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,Listo,Pablo Rodriguez,712020:3f49e0f7-1120-417c-ac02-26c0aa8e84cf,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,04/abr/26 5:34 PM,22/mar/26 8:34 PM,04/abr/26 5:34 PM,,0,"{panel:bgColor=#deebff}
Como Administrador, quiero poder anonimizar los datos personales de un envío ya finalizado para cumplir con el Derecho al Olvido.
{panel}

*Criterios de aceptación*

{quote}# Al ejecutar la anonimización, los datos del Cliente (Nombre, DNI, Dirección) deben ser reemplazados irreversiblemente por asteriscos (***) en la base de datos.
# El historial de movimientos logísticos del paquete debe mantenerse intacto (no se borra el paquete, solo los datos de la persona).{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i00075:9,SFGLD Sprint 3,,5.0,,,,Listo,04/abr/26 5:34 PM,10071,SFGLD-5,Compliance / Ley
US21: Registro de Consentimiento Informado (Checkbox),SFGLD-28,10094,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,Listo,Pablo Rodriguez,712020:3f49e0f7-1120-417c-ac02-26c0aa8e84cf,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,03/abr/26 8:19 PM,03/abr/26 8:19 PM,03/abr/26 8:19 PM,,0,"{panel:bgColor=#deebff}
Como Operador, quiero registrar mediante un Checkbox el Consentimiento Informado del remitente al crear el envío para cumplir con la Ley 25.326.
{panel}

*Criterios de aceptación*

{quote}# El formulario de creación de envíos debe contener un checkbox explícito de ""Acepto políticas de privacidad"".
# El sistema no debe permitir guardar el envío si este checkbox no está marcado.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i00076:i,SFGLD Sprint 3,,1.0,,,,Listo,03/abr/26 8:19 PM,10071,SFGLD-5,Compliance / Ley
US20: Agregar observación al cambiar estado,SFGLD-27,10093,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,Listo,Mauricio Quevedo,712020:2f95521c-bf4d-44a2-a517-166702e2efc4,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,28/mar/26 6:03 AM,30/mar/26 4:59 AM,28/mar/26 6:03 AM,,0,"{panel:bgColor=#deebff}
Como Operador, quiero poder agregar una observación de texto al actualizar un estado para documentar problemas.
{panel}

*Criterios de aceptación*

{quote}# Al actualizar un estado, debe aparecer un campo de texto (textarea) opcional.
# Si se ingresa una observación, esta debe quedar visible en el Timeline del historial.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0004t:5,SFGLD Sprint 2,,2.0,,,,Listo,28/mar/26 6:03 AM,10070,SFGLD-4,Auditoría / Estados
US19: Historial de estados en detalle,SFGLD-26,10092,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Low,Listo,Mauricio Quevedo,712020:2f95521c-bf4d-44a2-a517-166702e2efc4,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,28/mar/26 6:03 AM,26/mar/26 7:35 PM,28/mar/26 6:03 AM,,0,"{panel:bgColor=#deebff}
Como Usuario del sistema, quiero ver un historial en el detalle del envío con todos sus cambios de estado anteriores.
{panel}

*Criterios de aceptación*

{quote}# En la vista de detalle, debe existir una pestaña o sección ""Historial"".
# Los eventos deben mostrarse como una línea de tiempo con fecha, hora y el estado adquirido.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0004t:5i,SFGLD Sprint 2,,2.0,,,,Listo,28/mar/26 6:03 AM,10070,SFGLD-4,Auditoría / Estados
US18: Registro automático de auditoría,SFGLD-25,10091,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Low,Listo,Mauricio Quevedo,712020:2f95521c-bf4d-44a2-a517-166702e2efc4,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,28/mar/26 6:03 AM,30/mar/26 4:59 AM,28/mar/26 6:03 AM,,0,"{panel:bgColor=#deebff}
Como Administrador, quiero que el sistema registre la fecha, hora y el usuario exacto cada vez que se cambia un estado.
{panel}

*Criterios de aceptación*

{quote}El sistema debe guardar qué Usuario hizo el cambio y el Timestamp exacto de la acción sin que el usuario tenga que ingresarlo manualmente.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0004t:4i,SFGLD Sprint 2,,5.0,,,,Listo,28/mar/26 6:03 AM,10070,SFGLD-4,Auditoría / Estados
US17: Cambio de estado masivo,SFGLD-24,10090,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Lowest,Listo,Pablo Rodriguez,712020:3f49e0f7-1120-417c-ac02-26c0aa8e84cf,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,03/abr/26 8:35 PM,26/mar/26 11:08 PM,03/abr/26 8:35 PM,,0,"{panel:bgColor=#deebff}
Como Supervisor, quiero poder seleccionar múltiples envíos a la vez y cambiarles el estado en lote para agilizar el despacho.
{panel}

*Criterios de aceptación*

{quote}# El Supervisor debe poder seleccionar mediante checkboxes múltiples envíos de la lista.
# Al aplicar el cambio masivo, la acción se aplica solo a los seleccionados.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i00076:r,SFGLD Sprint 3,,8.0,,,,Listo,03/abr/26 8:35 PM,10070,SFGLD-4,Auditoría / Estados
US16: Cambiar estado individual de envío,SFGLD-23,10089,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Highest,Listo,Mauricio Quevedo,712020:2f95521c-bf4d-44a2-a517-166702e2efc4,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,28/mar/26 6:03 AM,22/mar/26 8:40 PM,28/mar/26 6:03 AM,,0,"{panel:bgColor=#deebff}
Como Supervisor, quiero cambiar el estado de un envío (Iniciado, En sucursal, En tránsito, Entregado) para mantener la trazabilidad.
{panel}

*Criterios de aceptación*

{quote}El sistema debe respetar el flujo lógico: _Iniciado -> En sucursal -> En tránsito -> Entregado_. No se puede saltar de Iniciado a Entregado directamente.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0004t:4,SFGLD Sprint 2,,3.0,,,,Listo,28/mar/26 6:03 AM,10070,SFGLD-4,Auditoría / Estados
US15: Filtrar envíos por rango de fechas,SFGLD-22,10088,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,Listo,Pablo Rodriguez,712020:3f49e0f7-1120-417c-ac02-26c0aa8e84cf,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,30/mar/26 4:27 AM,22/mar/26 8:40 PM,30/mar/26 4:27 AM,,0,"{panel:bgColor=#deebff}
Como Usuario del sistema, quiero filtrar envíos por rango de fechas de creación para localizar rápidamente paquetes de una semana específica.
{panel}

*Criterios de aceptación*

{quote}# El sistema debe proveer un selector de fecha ""Desde"" y ""Hasta"".
# El sistema debe validar que la fecha ""Desde"" no sea mayor a la fecha ""Hasta"", mostrando un error si ocurre.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0004t:5x,SFGLD Sprint 2,,3.0,,,,Listo,30/mar/26 4:27 AM,10069,SFGLD-3,Tracking
US14: Filtrar envíos por estado actual,SFGLD-21,10087,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,Listo,Pablo Rodriguez,712020:3f49e0f7-1120-417c-ac02-26c0aa8e84cf,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,30/mar/26 4:27 AM,22/mar/26 8:41 PM,30/mar/26 4:27 AM,,0,"{panel:bgColor=#deebff}
Como Usuario del sistema, quiero filtrar la lista de envíos por su estado actual para gestionar la carga de trabajo diaria.
{panel}

*Criterios de aceptación*

{quote}# El usuario debe poder seleccionar uno o varios estados desde un menú desplegable.
# La tabla debe actualizarse en tiempo real para mostrar solo los envíos que coincidan.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0004t:5y,SFGLD Sprint 2,,3.0,,,,Listo,30/mar/26 4:27 AM,10069,SFGLD-3,Tracking
US13: Visualización de detalle completo de envío,SFGLD-20,10086,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,Listo,Pablo Rodriguez,712020:3f49e0f7-1120-417c-ac02-26c0aa8e84cf,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,23/mar/26 4:47 PM,22/mar/26 9:16 PM,23/mar/26 4:47 PM,,0,"{panel:bgColor=#deebff}
Como Usuario del sistema, quiero ver el detalle completo de un envío (remitente, destino, estado actual, fecha) al seleccionarlo de la lista.
{panel}

*Criterios de aceptación*

{quote}Al hacer clic en un envío, se debe abrir una vista o modal con toda la información del remitente, destinatario y paquete.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i00052:,SFGLD Sprint 1,,3.0,,,,Listo,23/mar/26 4:47 PM,10069,SFGLD-3,Tracking
US12: Búsqueda de envío por Tracking ID,SFGLD-19,10085,Historia,Implementado,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,Listo,Pablo Rodriguez,712020:3f49e0f7-1120-417c-ac02-26c0aa8e84cf,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,23/mar/26 4:47 PM,22/mar/26 8:59 PM,23/mar/26 4:47 PM,,0,"{panel:bgColor=#deebff}
Como Usuario del sistema, quiero buscar un envío ingresando su Tracking ID para acceder rápidamente a su detalle.
{panel}

*Criterios de aceptación*

{quote}# El buscador debe requerir coincidencia exacta del Tracking ID.
# Si el ID no existe, debe mostrar una alerta: _""No se encontraron envíos con ese código""_.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i00053:,SFGLD Sprint 1,,3.0,,,,Listo,23/mar/26 4:47 PM,10069,SFGLD-3,Tracking
